no_of_artists,popularity,appearances
1,6.2156000000000002,6993936
4,6.3551799999999998,1067174
9,5.1078799999999998,395414
16,4.4352400000000003,154677
25,4.4438000000000004,55796
36,4.1986600000000003,26654
49,4.02658,14370
64,3.4588100000000002,10220
81,3.3882099999999999,6123
100,3.0693299999999999,4457
121,3.1689600000000002,3054
144,2.2210800000000002,2438
169,2.8103099999999999,1687
196,2.7808799999999998,1433
225,2.4779,973
256,5.1011199999999999,445
289,1.3573200000000001,806
324,4.0383599999999999,365
361,3.0611600000000001,327
400,3.3544700000000001,347
441,4.1666699999999999,114
484,3.2000000000000002,135
529,6.09009,111
576,3.7727300000000001,88
625,1.86111,108
676,6.6136400000000002,44
729,4.9302299999999999,86
784,12,11
841,3.3871000000000002,31
900,12.307689999999999,13
961,1.05769,52
1024,2.5344799999999998,58
1089,3.4285700000000001,7
1156,2,1
1225,5.0999999999999996,10
1296,1.59091,22
1369,1.30769,26
1444,12,3
1521,5,2
1600,7,1
1681,8,2
1764,6.75,4
1849,8.3333300000000001,3
1936,15,1
2025,0.78571000000000002,28
2116,3,6
